640,631,640,4.08068,1
640,631,320,4.92148,2
640,631,213,4.1987,3
640,631,160,3.7687,4
640,631,128,3.25877,5
640,631,106,2.64747,6
640,631,91,2.21965,7
640,631,80,2.05718,8
1023,1015,1023,18.8421,1
1023,1015,511,23.7118,2
1023,1015,341,13.4126,3
1023,1015,255,12.7855,4
1023,1015,204,11.0124,5
1023,1015,170,8.34333,6
1023,1015,146,8.38754,7
1023,1015,127,8.15344,8
1136,970,1136,29.9847,1
1136,970,568,25.4309,2
1136,970,378,25.0727,3
1136,970,284,14.2827,4
1136,970,227,12.5659,5
1136,970,189,13.8288,6
1136,970,162,11.3722,7
1136,970,142,13.1216,8
4087,4024,4087,1136.4,1
4087,4024,2043,1207.99,2
4087,4024,1362,1054.6,3
4087,4024,1021,900.362,4
4087,4024,817,735.053,5
4087,4024,681,645.338,6
4087,4024,583,629.431,7
4087,4024,510,514.142,8
87,76,87,0.0202633,1
87,76,43,0.0241799,2
87,76,29,0.0676408,3
87,76,21,0.0208552,4
87,76,17,0.0195094,5
87,76,14,0.0258061,6
87,76,12,0.043716,7
87,76,10,0.0316807,8
3,4,4,0.000124737,1
3,4,2,0.000331727,2
3,4,1,0.00044847,3
3,4,1,0.000647849,4
3,4,0,0.00139886,5
3,4,0,0.00104666,6
3,4,0,0.00265422,7
3,4,0,0.00105353,8
